'level1';'level2';'level3';'filter0';'filter1';'Data[0]';'Data[1]';'Data[2]';'Data[3]'
'กาฬสินธุ์';'เมืองกาฬสินธุ์';'หลุบ';'300000';'300000';'บ้านดอนสนวน';'น้ำไหลท่วมโรงเรียน ส้วม ถนน เสียหาย';'1 หลัง  1 แห่ง';'1. ปรับปรุงซ่อมแซมห้องน้ำ - ห้องส้วม  จำนวน  2  ที่
2. ปรับปรุงซ่อมแซมถนนคอนกรีต ขนาดกว้าง 3.5 ม. X 116 ม'
'กาฬสินธุ์';'เมืองกาฬสินธุ์';'หลุบ';'102450';'100000';'โคกกลางราษฎร์พัฒนา';'น้ำไหลท่วมโรงเรียน ถนน ภายในโรงเรียนเสียหาย';'1 แห่ง';'1.  ปรับปรุงซ่อมแซมถนนคอนกรีต ขนาดกว้าง 3.5 ม. X 116 ม'
'กาฬสินธุ์';'เมืองกาฬสินธุ์';'หลุบ';'102450';'100000';'กุดอ้อสุขสวัสดิ์วิทยา';'น้ำไหลท่วมโรงเรียน ถนน ภายในโรงเรียนเสียหาย';'1 แห่ง';' 1.  ปรับปรุงซ่อมแซมถนนคอนกรีต ขนาดกว้าง 3.5 ม. X 116 ม'
'กาฬสินธุ์';'เมืองกาฬสินธุ์';'บึงวิชัย';'512250';'500000';'บึงวิชัยสงเคราะห์';'น้ำไหลท่วมโรงเรียน ถนนในโรงเรียนเสียหาย';'1 แห่ง';'1.  ถนนคอนกรีตเสริมเหล็ก'
'กาฬสินธุ์';'เมืองกาฬสินธุ์';'หนองกุง';'101426';'99000';'นาคอกควาย';'น้ำไหลท่วมโรงเรียน อาคารเรียนเสียหาย';'1 หลัง';'1.  เปลี่ยนเสาอาคารเรียน 6x6x3.5   จำนวน  13  ต้น   -  เปลี่ยนสังกะสี  10  ฟุต  จำนวน  40  แผ่น'
'กาฬสินธุ์';'เมืองกาฬสินธุ์';'หนองกุง';'102450';'100000';'คำไผ่สงเคราะห์';'น้ำไหลท่วมโรงเรียน อาคารอเนกประสงค์ ส้วมเสียหาย';'1 หลัง';'1.  ซ่อมแซมอาคารเอนกประสงค์
- ทาสี 150ตร.ม -  ฝ้ากระเบื้อง 70  แผ่น
- ประตูไม้เนื้อแข็ง 4 บาน
- โถส้วมนั่ง 4  ชุด
-  ปูพื้นกระเบื้อง 180  ตร.ม
-  เปลี่ยนโครงหลังคาเหล็กรีดลอน 380 ตร.ม'
