'level1';'level2';'level3';'filter0';'filter1';'filter3';'Data[1]';'Data[2]';'Data[3]';'Data[9]';'Data[4]';'Data[6]';'Data[7]';'Data[8]';'Data[5]'
'กาฬสินธุ์';'เมืองกาฬสินธุ์';'หนองกุง';'101426';'99000';'นาคอกควาย';'น้ำไหลท่วมโรงเรียน อาคารเรียนเสียหาย';'1 หลัง';'1.  เปลี่ยนเสาอาคารเรียน 6x6x3.5   จำนวน  13  ต้น   -  เปลี่ยนสังกะสี  10  ฟุต  จำนวน  40  แผ่น';'46010055';'นายเกรียงไกรไผ่ผาด';'043890139';;;
'กาฬสินธุ์';'เมืองกาฬสินธุ์';'หลุบ';'102450';'100000';'โคกกลางราษฎร์พัฒนา';'น้ำไหลท่วมโรงเรียน ถนน ภายในโรงเรียนเสียหาย';'1 แห่ง';'1.  ปรับปรุงซ่อมแซมถนนคอนกรีต ขนาดกว้าง 3.5 ม. X 116 ม';'46010061';'นายเกษแก้วขุมคำ';'043890141';;;
'กาฬสินธุ์';'สหัสขันธ์';'สหัสขันธ์';'1024500';'1000000';'ถ้ำปลาวิทยายน';'น้ำไหลท่วมโรงเรียน อาคารเรียน  อาคารอเนกประสงค์ เสียหาย';'1 หลัง';'1.ปรับปรุงอาคารเรียน แบบ ป1ฉ ขนาด 3 ห้องเรียน     -  เสาตอม่อ  จำนวน  40  ต้น    -  เปลี่ยนฝ้าเพดานยิปซั่ม     -  เปลี่ยนบานประตูเนื้อแข็ง 12 บาน    -  เปลี่ยนฝ้าเพดานยิปซั่ม    -  เปลี่ยนประตูเนื้อแข็ง 12 บาน     - เปลี่ยนบานประตูหน้าต่าง 46 บาน     2.  ปรับปรุงซ่อมแซมอาคารเอนกประสงค์ -  เสาคอนกรีต  จำนวน  40  ต้น    -  กระเบื้องเคลือบ  450 ตร.ม             -   หน้าต่างทึบ  46  บาน   - ทาสีน้ำมัน  300 ตร.ม';'46010153';'นายชาติชาย  ยี่สารพัฒน์';'043813997';;;
'กาฬสินธุ์';'เมืองกาฬสินธุ์';'หลุบ';'102450';'100000';'กุดอ้อสุขสวัสดิ์วิทยา';'น้ำไหลท่วมโรงเรียน ถนน ภายในโรงเรียนเสียหาย';'1 แห่ง';' 1.  ปรับปรุงซ่อมแซมถนนคอนกรีต ขนาดกว้าง 3.5 ม. X 116 ม';'46010062';'นางสอาดเนตวงษ์';'043812395';;;
'กาฬสินธุ์';'กิ่งอำเภอสามชัย';'สำราญ';'935369';'913000';'บ้านหนองกุงใหญ่';'น้ำไหลท่วมโรงเรียน อาคารเรียน  อาคารอเนกประสงค์ และส้วมเสียหาย';'1 หลัง';'1.  ซ่อมแซมอาคารเรียน แบบ ป1 ฉ       - เปลี่ยนหลังคาเหล็กรีดลอน  828 ตร.ม   - เปลี่ยนประตูไม้เนื้อแข็ง  116  บาน     - เปลี่ยนกระจกช่องแสง    58 แผ่น        - เปลี่ยนกระจกช่องแสงประตู 10 แผ่น';'46010161';'นายบรรยงยี่สารพัฒน์';'043818075';;;
'กาฬสินธุ์';'เมืองกาฬสินธุ์';'หลุบ';'300000';'300000';'บ้านดอนสนวน';'น้ำไหลท่วมโรงเรียน ส้วม ถนน เสียหาย';'1 หลัง  1 แห่ง';'1. ปรับปรุงซ่อมแซมห้องน้ำ - ห้องส้วม  จำนวน  2  ที่
2. ปรับปรุงซ่อมแซมถนนคอนกรีต ขนาดกว้าง 3.5 ม. X 116 ม';'46010060';'นายสนิทศรีลำไพ';'043890140';;;
'กาฬสินธุ์';'เมืองกาฬสินธุ์';'หนองกุง';'102450';'100000';'คำไผ่สงเคราะห์';'น้ำไหลท่วมโรงเรียน อาคารอเนกประสงค์ ส้วมเสียหาย';'1 หลัง';'1.  ซ่อมแซมอาคารเอนกประสงค์
- ทาสี 150ตร.ม -  ฝ้ากระเบื้อง 70  แผ่น
- ประตูไม้เนื้อแข็ง 4 บาน
